Site,Species,Hunted,site.sp
NAK,Melogale personata,Yes,Melogale personata-NAK
NAK,Muntiacus muntjak,Yes,Muntiacus muntjak-NAK
NAK,Paradoxurus hermaphroditus,Yes,Paradoxurus hermaphroditus-NAK
NAK,Pardofelis marmorata,Yes,Pardofelis marmorata-NAK
NAK,Pardofelis temminckii,Yes,Pardofelis temminckii-NAK
NAK,Polyplectron bicalcaratum,Yes,Polyplectron bicalcaratum-NAK
NAK,Prionailurus bengalensis,Yes,Prionailurus bengalensis-NAK
NAK,Sus scrofa,Yes,Sus scrofa-NAK
NAK,Tragulus kanchil,Yes,Tragulus kanchil-NAK
NAK,Viverra zibetha,Yes,Viverra zibetha-NAK
NNN,Agelastes niger,Unknown,Agelastes niger-NNN
NNN,Atherurus africanus,Yes,Atherurus africanus-NNN
NNN,Atilax paludinosus,No,Atilax paludinosus-NNN
NNN,Bdeogale nigripes,No,Bdeogale nigripes-NNN
NNN,Caracal aurata,No,Caracal aurata-NNN
NNN,Cephalophus callipygus,Yes,Cephalophus callipygus-NNN
NNN,Cephalophus dorsalis,Yes,Cephalophus dorsalis-NNN
NNN,Cephalophus leucogaster,Yes,Cephalophus leucogaster-NNN
NNN,Cephalophus nigrifrons,Yes,Cephalophus nigrifrons-NNN
NNN,Cephalophus silvicultor,No,Cephalophus silvicultor-NNN
NNN,Cercocebus agilis,Yes,Cercocebus agilis-NNN
NNN,Cercopithecus nictitans,Yes,Cercopithecus nictitans-NNN
NNN,Civettictis civetta,Yes,Civettictis civetta-NNN
NNN,Cricetomys emini,No,Cricetomys emini-NNN
NNN,Cricetomys gambianus,No,Cricetomys gambianus-NNN
NNN,Francolinus lathami,No,Francolinus lathami-NNN
NNN,Funisciurus lemniscatus,No,Funisciurus lemniscatus-NNN
NNN,Funisciurus pyrropus,No,Funisciurus pyrropus-NNN
NNN,Genetta servalina,Yes,Genetta servalina-NNN
NNN,Gorilla gorilla,Yes,Gorilla gorilla-NNN
NNN,Guttera plumifera,Unknown,Guttera plumifera-NNN
NNN,Herpestes naso,No,Herpestes naso-NNN
NNN,Hyemoschus aquaticus,Yes,Hyemoschus aquaticus-NNN
NNN,Hylochoerus meinertzhageni,Yes,Hylochoerus meinertzhageni-NNN
NNN,Loxodonta africana,Yes,Loxodonta africana-NNN
NNN,Mellivora capensis,No,Mellivora capensis-NNN
NNN,Nandinia binotata,Yes,Nandinia binotata-NNN
NNN,Orycteropus afer,No,Orycteropus afer-NNN
NNN,Pan troglodytes,Yes,Pan troglodytes-NNN
NNN,Panthera pardus,No,Panthera pardus-NNN
NNN,Phataginus tricuspis,Yes,Phataginus tricuspis-NNN
NNN,Philantomba monticola,Yes,Philantomba monticola-NNN
NNN,Potamochoerus porcus,Yes,Potamochoerus porcus-NNN
NNN,Protoxerus stangeri,No,Protoxerus stangeri-NNN
NNN,Smutsia gigantea,Yes,Smutsia gigantea-NNN
NNN,Syncerus caffer,Yes,Syncerus caffer-NNN
NNN,Thryonomys swinderianus,No,Thryonomys swinderianus-NNN
NNN,Tragelaphus eurycerus,Yes,Tragelaphus eurycerus-NNN
NNN,Tragelaphus spekii,Yes,Tragelaphus spekii-NNN
NNN,Turtur brehmeri,No,Turtur brehmeri-NNN
PSH,Arctictis binturong,Unknown,Arctictis binturong-PSH
PSH,Argusianus argus,Yes,Argusianus argus-PSH
