sp,site,median.coeff,ind95,ind80,cont,rls,mass,class,guild,sitesp,nyears,ActivityCycle,AdultBodyMass_g,DietBreadth,LitterSize,TrophicLevel,GR_Area_km2,Category,T75_Loss_SampleArea_Ha,T75_Loss_SampleArea_Pct,T75_Loss_SampleArea_Ha_Round,T75_Loss_SampleArea_Pct_Round,T75_Loss_ZOI_Ha,T75_Loss_ZOI_Pct,T75_Loss_ZOI_Ha_Round,T75_Loss_ZOI_Pct_Round,protection,poaching
Hoplomys gymnurus,BCI,0.792110208,increasing,increasing,LA,LC,240,MAMMALIA,Omnivore,Hoplomys gymnurus.Barro Colorado Nature Monument - Soberania National Park,4,1,281.42,2,2.1,1,404762.49,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Hydrochoerus hydrochaeris,COU,4.58E-16,stable,stable,LA,LC,48145,MAMMALIA,Herbivore,Hydrochoerus hydrochaeris.Cocha Cashu - Manu National Park,3,2,48144.91,5,3.49,1,12726191.09,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Hydrochoerus isthmius,BCI,-0.425039756,stable,stable,LA,DD,10850,MAMMALIA,Herbivore,Hydrochoerus isthmius.Barro Colorado Nature Monument - Soberania National Park,4,NA,21267.32,NA,4.99,NA,307442.57,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Hyemoschus aquaticus,KRP,-7.44E-16,stable,stable,AF,LC,188500,MAMMALIA,Herbivore,Hyemoschus aquaticus.Korup National Park,2,1,10850,1,1.22,1,2571576.3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Hyemoschus aquaticus,NNN,-0.318738612,stable,stable,AF,LC,188500,MAMMALIA,Herbivore,Hyemoschus aquaticus.Nouabalͩ Ndoki,4,1,10850,1,1.22,1,2571576.3,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Hylochoerus meinertzhageni,NNN,0.249256079,stable,stable,AF,LC,14936,MAMMALIA,Omnivore,Hylochoerus meinertzhageni.Nouabalͩ Ndoki,4,2,198130.47,2,4,1,2227871.01,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Hystrix africaeaustralis,UDZ,-0.722091593,decreasing,decreasing,AF,LC,8000,MAMMALIA,Omnivore,Hystrix africaeaustralis.Udzungwa,5,1,14936.02,3,1.51,1,8461036.56,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Hystrix brachyura,BBS,0.297841945,stable,stable,AS,LC,8000,MAMMALIA,Omnivore,Hystrix brachyura.Bukit Barisan,4,1,8000,6,1.41,2,5702383.4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Hystrix brachyura,NAK,0.3109305,stable,increasing,AS,LC,8000,MAMMALIA,Omnivore,Hystrix brachyura.Nam Kading,4,1,8000,6,1.41,2,5702383.4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Hystrix brachyura,PSH,0.683362591,increasing,increasing,AS,LC,8000,MAMMALIA,Omnivore,Hystrix brachyura.Pasoh Forest Reserve,3,1,8000,6,1.41,2,5702383.4,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Lariscus insignis,BBS,0.36650857,stable,increasing,AS,LC,200,MAMMALIA,Omnivore,Lariscus insignis.Bukit Barisan,4,NA,174.41,2,NA,1,1341081.13,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Lariscus insignis,PSH,0.098304114,stable,stable,AS,LC,200,MAMMALIA,Omnivore,Lariscus insignis.Pasoh Forest Reserve,3,NA,174.41,2,NA,1,1341081.13,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Leopardus pardalis,BCI,-0.152744197,stable,stable,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis.Barro Colorado Nature Monument - Soberania National Park,4,2,11880,1,1.66,3,16040024.42,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Leopardus pardalis,CAX,-0.210671445,stable,stable,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis.Caxiuanͣ,3,2,11880,1,1.66,3,16040024.42,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Leopardus pardalis,CSN,-0.143116228,stable,stable,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis.Central Suriname Nature Reserve,5,2,11880,1,1.66,3,16040024.42,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Leopardus pardalis,COU,0.965398231,increasing,increasing,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis.Cocha Cashu - Manu National Park,3,2,11880,1,1.66,3,16040024.42,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Leopardus pardalis,MAN,-3.280911216,decreasing,decreasing,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis.Manaus,2,2,11880,1,1.66,3,16040024.42,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Leopardus pardalis,VB,-0.269895585,decreasing,decreasing,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis.Volc͍n Barva,7,2,11880,1,1.66,3,16040024.42,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Leopardus pardalis,YAN,0.374190218,stable,stable,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis.Yanachaga Chimillͩn National Park,3,2,11880,1,1.66,3,16040024.42,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Leopardus pardalis,YAS,-3.64E-09,stable,stable,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis.Yasuni,3,2,11880,1,1.66,3,16040024.42,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Leopardus tigrinus,CSN,-0.260621318,stable,stable,LA,VU,2250,MAMMALIA,Carnivore,Leopardus tigrinus.Central Suriname Nature Reserve,5,NA,NA,NA,NA,NA,11884529.12,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Leopardus tigrinus,COU,1.958402426,increasing,increasing,LA,VU,2250,MAMMALIA,Carnivore,Leopardus tigrinus.Cocha Cashu - Manu National Park,3,NA,NA,NA,NA,NA,11884529.12,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Leopardus wiedii,BCI,0.425039756,stable,stable,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii.Barro Colorado Nature Monument - Soberania National Park,4,2,3270.81,1,1.5,3,12404067.35,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Leopardus wiedii,CAX,0.116403595,stable,stable,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii.Caxiuanͣ,3,2,3270.81,1,1.5,3,12404067.35,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Leopardus wiedii,CSN,-0.08200012,stable,stable,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii.Central Suriname Nature Reserve,5,2,3270.81,1,1.5,3,12404067.35,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Leopardus wiedii,COU,-0.261366506,stable,stable,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii.Cocha Cashu - Manu National Park,3,2,3270.81,1,1.5,3,12404067.35,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Leopardus wiedii,MAN,23.44152321,increasing,increasing,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii.Manaus,2,2,3270.81,1,1.5,3,12404067.35,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Leopardus wiedii,VB,0.070294592,stable,stable,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii.Volc͍n Barva,7,2,3270.81,1,1.5,3,12404067.35,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Leopardus wiedii,YAN,-0.862930592,stable,decreasing,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii.Yanachaga Chimillͩn National Park,3,2,3270.81,1,1.5,3,12404067.35,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Leopardus wiedii,YAS,0.721258206,increasing,increasing,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii.Yasuni,3,2,3270.81,1,1.5,3,12404067.35,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Leopoldamys sabanus,NAK,-0.205756199,stable,stable,AS,LC,391,MAMMALIA,Insectivore,Leopoldamys sabanus.Nam Kading,4,NA,347.61,NA,3.33,NA,2396697.79,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Leopoldamys sabanus,PSH,0.812134289,increasing,increasing,AS,LC,391,MAMMALIA,Insectivore,Leopoldamys sabanus.Pasoh Forest Reserve,3,NA,347.61,NA,3.33,NA,2396697.79,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Leptailurus serval,BIF,0.784053621,stable,increasing,AF,LC,12000,MAMMALIA,Carnivore,Leptailurus serval.Bwindi Impenetrable Forest,4,2,11999.96,1,2.35,3,12526196.74,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Leptailurus serval,UDZ,-5.90E-16,stable,stable,AF,LC,12000,MAMMALIA,Carnivore,Leptailurus serval.Udzungwa,5,2,11999.96,1,2.35,3,12526196.74,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Leptotila cassini,BCI,-0.584116769,decreasing,decreasing,LA,LC,156,AVES,Omnivore,Leptotila cassini.Barro Colorado Nature Monument - Soberania National Park,4,NA,NA,NA,NA,NA,NA,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Leptotila rufaxilla,CSN,0.668921131,increasing,increasing,LA,LC,155,AVES,Omnivore,Leptotila rufaxilla.Central Suriname Nature Reserve,5,NA,NA,NA,NA,NA,NA,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Leptotila rufaxilla,COU,0.508631987,increasing,increasing,LA,LC,155,AVES,Omnivore,Leptotila rufaxilla.Cocha Cashu - Manu National Park,3,NA,NA,NA,NA,NA,NA,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Leptotila rufaxilla,YAS,-0.803657192,stable,decreasing,LA,LC,155,AVES,Omnivore,Leptotila rufaxilla.Yasuni,3,NA,NA,NA,NA,NA,NA,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Leptotila verreauxi,BCI,-0.205756199,stable,stable,LA,LC,155,AVES,Omnivore,Leptotila verreauxi.Barro Colorado Nature Monument - Soberania National Park,4,NA,NA,NA,NA,NA,NA,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Leptotila verreauxi,MAN,22.7312816,stable,stable,LA,LC,155,AVES,Omnivore,Leptotila verreauxi.Manaus,2,NA,NA,NA,NA,NA,NA,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Lophotibis cristata,RNF,0.092701298,stable,stable,AF,NT,NA,AVES,Omnivore,Lophotibis cristata.Ranomafana,3,NA,NA,NA,NA,NA,NA,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
Lophura diardi,NAK,0.124717797,stable,stable,AS,LC,1041,AVES,Omnivore,Lophura diardi.Nam Kading,4,NA,NA,NA,NA,NA,NA,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Lophura ignita,PSH,1.259075163,stable,increasing,AS,NT,1815,AVES,Omnivore,Lophura ignita.Pasoh Forest Reserve,3,NA,NA,NA,NA,NA,NA,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Lophura nycthemera,NAK,0.020876354,stable,stable,AS,LC,1358,AVES,Omnivore,Lophura nycthemera.Nam Kading,4,NA,NA,NA,NA,NA,NA,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Loxodonta africana,BIF,0.738286303,increasing,increasing,AF,VU,3940034,MAMMALIA,Herbivore,Loxodonta africana.Bwindi Impenetrable Forest,4,3,3824539.93,4,0.84,1,4233287.94,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Loxodonta africana,KRP,-6.50E-16,stable,stable,AF,VU,3940034,MAMMALIA,Herbivore,Loxodonta africana.Korup National Park,2,3,3824539.93,4,0.84,1,4233287.94,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Loxodonta africana,NNN,-0.741366484,decreasing,decreasing,AF,VU,3940034,MAMMALIA,Herbivore,Loxodonta africana.Nouabalͩ Ndoki,4,3,3824539.93,4,0.84,1,4233287.94,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Loxodonta africana,UDZ,0.09117506,stable,stable,AF,VU,3940034,MAMMALIA,Herbivore,Loxodonta africana.Udzungwa,5,3,3824539.93,4,0.84,1,4233287.94,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Lutra lutra,BBS,0.205756199,stable,stable,AS,NT,11000,MAMMALIA,Carnivore,Lutra lutra.Bukit Barisan,4,1,8868.69,1,2.01,3,25877469.45,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Macaca arctoides,NAK,0.426880056,stable,stable,AS,VU,5000,MAMMALIA,Omnivore,Macaca arctoides.Nam Kading,4,3,9358.04,1,1.01,1,1236024.14,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Macaca assamensis,NAK,-0.301472437,stable,stable,AS,NT,12000,MAMMALIA,Omnivore,Macaca assamensis.Nam Kading,4,3,8546.89,NA,NA,NA,1383530.1,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Macaca fascicularis,BBS,-0.423216072,stable,stable,AS,LC,4750,MAMMALIA,Omnivore,Macaca fascicularis.Bukit Barisan,4,3,4569.32,3,1,2,2197587.41,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Macaca fascicularis,PSH,0.54599704,increasing,increasing,AS,LC,4750,MAMMALIA,Omnivore,Macaca fascicularis.Pasoh Forest Reserve,3,3,4569.32,3,1,2,2197587.41,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Macaca leonina,NAK,0.014354596,stable,stable,AS,VU,6093,MAMMALIA,Omnivore,Macaca leonina.Nam Kading,4,NA,NA,NA,NA,NA,731087.52,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Macaca nemestrina,BBS,-0.930298386,decreasing,decreasing,AS,VU,6500,MAMMALIA,Omnivore,Macaca nemestrina.Bukit Barisan,4,3,7820.78,2,1.01,1,1033482.91,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Macaca nemestrina,PSH,0.846033095,increasing,increasing,AS,VU,6500,MAMMALIA,Omnivore,Macaca nemestrina.Pasoh Forest Reserve,3,3,7820.78,2,1.01,1,1033482.91,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Mandrillus leucophaeus,KRP,-0.540555786,stable,stable,AF,EN,15000,MAMMALIA,Omnivore,Mandrillus leucophaeus.Korup National Park,2,3,14253.3,3,1.01,2,106294.34,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Manis javanica,BBS,-0.081852097,stable,stable,AS,EN,5150,MAMMALIA,Insectivore,Manis javanica.Bukit Barisan,4,NA,4861.71,1,1,3,2642894.09,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Manis javanica,NAK,0.423216072,stable,stable,AS,EN,5150,MAMMALIA,Insectivore,Manis javanica.Nam Kading,4,NA,4861.71,1,1,3,2642894.09,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Manis javanica,PSH,0.313325238,stable,stable,AS,EN,5150,MAMMALIA,Insectivore,Manis javanica.Pasoh Forest Reserve,3,NA,4861.71,1,1,3,2642894.09,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Martes flavigula,NAK,-0.430611465,stable,stable,AS,LC,1185,MAMMALIA,Omnivore,Martes flavigula.Nam Kading,4,3,2504.64,1,3.53,3,5260689.7,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Martes flavigula,PSH,-0.261366508,stable,stable,AS,LC,1185,MAMMALIA,Omnivore,Martes flavigula.Pasoh Forest Reserve,3,3,2504.64,1,3.53,3,5260689.7,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Mazama americana,CAX,-0.603262942,decreasing,decreasing,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana.Caxiuanͣ,3,2,20546.86,2,1.22,1,12346897.93,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Mazama americana,CSN,0.010618441,stable,stable,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana.Central Suriname Nature Reserve,5,2,20546.86,2,1.22,1,12346897.93,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Mazama americana,COU,-0.159118391,stable,stable,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana.Cocha Cashu - Manu National Park,3,2,20546.86,2,1.22,1,12346897.93,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Mazama americana,MAN,-0.269780862,stable,stable,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana.Manaus,2,2,20546.86,2,1.22,1,12346897.93,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Mazama americana,YAN,-0.227623289,stable,decreasing,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana.Yanachaga Chimillͩn National Park,3,2,20546.86,2,1.22,1,12346897.93,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Mazama americana,YAS,-0.084455466,stable,stable,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana.Yasuni,3,2,20546.86,2,1.22,1,12346897.93,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Mazama nemorivaga,CAX,3.27E-17,stable,stable,LA,LC,672,MAMMALIA,Herbivore,Mazama nemorivaga.Caxiuanͣ,3,NA,NA,NA,NA,NA,NA,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Mazama nemorivaga,CSN,-0.209179416,stable,decreasing,LA,LC,672,MAMMALIA,Herbivore,Mazama nemorivaga.Central Suriname Nature Reserve,5,NA,NA,NA,NA,NA,NA,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Mazama nemorivaga,MAN,1.54702598,increasing,increasing,LA,LC,672,MAMMALIA,Herbivore,Mazama nemorivaga.Manaus,2,NA,NA,NA,NA,NA,NA,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Mazama nemorivaga,YAS,-0.107096098,stable,stable,LA,LC,672,MAMMALIA,Herbivore,Mazama nemorivaga.Yasuni,3,NA,NA,NA,NA,NA,NA,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Mazama temama,BCI,-0.035725072,stable,stable,LA,DD,2100,MAMMALIA,Herbivore,Mazama temama.Barro Colorado Nature Monument - Soberania National Park,4,NA,NA,NA,NA,NA,586111.82,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Mazama temama,VB,0.050442766,stable,increasing,LA,DD,2100,MAMMALIA,Herbivore,Mazama temama.Volc͍n Barva,7,NA,NA,NA,NA,NA,586111.82,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Mellivora capensis,BIF,-0.432503066,stable,decreasing,AF,LC,9000,MAMMALIA,Carnivore,Mellivora capensis.Bwindi Impenetrable Forest,4,2,8999.99,6,2.35,2,27823522.11,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Mellivora capensis,NNN,0.328690271,stable,increasing,AF,LC,9000,MAMMALIA,Carnivore,Mellivora capensis.Nouabalͩ Ndoki,4,2,8999.99,6,2.35,2,27823522.11,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Mellivora capensis,UDZ,0.093877554,stable,stable,AF,LC,9000,MAMMALIA,Carnivore,Mellivora capensis.Udzungwa,5,2,8999.99,6,2.35,2,27823522.11,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Melogale personata,NAK,-0.205756199,stable,stable,AS,DD,1703,MAMMALIA,Insectivore,Melogale personata.Nam Kading,4,2,1845.26,6,2.5,2,312496.33,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Metachirus nudicaudatus,BCI,0.164005931,stable,increasing,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus.Barro Colorado Nature Monument - Soberania National Park,4,1,363.77,4,3.87,2,8833791.02,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Metachirus nudicaudatus,CAX,0.514990129,increasing,increasing,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus.Caxiuanͣ,3,1,363.77,4,3.87,2,8833791.02,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Metachirus nudicaudatus,CSN,0.162390242,increasing,increasing,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus.Central Suriname Nature Reserve,5,1,363.77,4,3.87,2,8833791.02,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Metachirus nudicaudatus,MAN,-0.608955089,stable,decreasing,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus.Manaus,2,1,363.77,4,3.87,2,8833791.02,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Metachirus nudicaudatus,VB,-0.241144122,stable,decreasing,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus.Volc͍n Barva,7,1,363.77,4,3.87,2,8833791.02,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Metachirus nudicaudatus,YAN,0.658483545,stable,stable,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus.Yanachaga Chimillͩn National Park,3,1,363.77,4,3.87,2,8833791.02,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Metachirus nudicaudatus,YAS,1.303598577,increasing,increasing,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus.Yasuni,3,1,363.77,4,3.87,2,8833791.02,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Mitu salvini,YAS,0.271450842,stable,increasing,LA,LC,3100,AVES,Omnivore,Mitu salvini.Yasuni,3,NA,NA,NA,NA,NA,NA,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Mitu tuberosum,CAX,-0.133597661,stable,stable,LA,LC,3060,AVES,Omnivore,Mitu tuberosum.Caxiuanͣ,3,NA,NA,NA,NA,NA,NA,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Mitu tuberosum,COU,0.156677003,stable,stable,LA,LC,3060,AVES,Omnivore,Mitu tuberosum.Cocha Cashu - Manu National Park,3,NA,NA,NA,NA,NA,NA,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Mitu tuberosum,YAN,0.287387422,stable,increasing,LA,LC,3060,AVES,Omnivore,Mitu tuberosum.Yanachaga Chimillͩn National Park,3,NA,NA,NA,NA,NA,NA,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Mungos mungo,UDZ,-0.231915466,stable,stable,AF,LC,1925,MAMMALIA,Insectivore,Mungos mungo.Udzungwa,5,3,1260,1,2.68,3,15894555.38,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Muntiacus montanus,PSH,1.583223254,increasing,increasing,AS,DD,18939,MAMMALIA,Herbivore,Muntiacus montanus.Pasoh Forest Reserve,3,NA,NA,NA,NA,NA,NA,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Muntiacus muntjak,BBS,-0.59082849,stable,decreasing,AS,LC,14000,MAMMALIA,Herbivore,Muntiacus muntjak.Bukit Barisan,4,2,17611.59,3,1,1,7321434.07,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Muntiacus muntjak,NAK,-2.53E-16,stable,stable,AS,LC,14000,MAMMALIA,Herbivore,Muntiacus muntjak.Nam Kading,4,2,17611.59,3,1,1,7321434.07,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Muntiacus muntjak,PSH,0.340800194,stable,stable,AS,LC,14000,MAMMALIA,Herbivore,Muntiacus muntjak.Pasoh Forest Reserve,3,2,17611.59,3,1,1,7321434.07,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Myoprocta acouchy,CSN,-0.192020637,decreasing,decreasing,LA,LC,600,MAMMALIA,Herbivore,Myoprocta acouchy.Central Suriname Nature Reserve,5,3,954.87,2,1.97,1,1230426.69,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Myoprocta acouchy,MAN,-0.565938254,decreasing,decreasing,LA,LC,600,MAMMALIA,Herbivore,Myoprocta acouchy.Manaus,2,3,954.87,2,1.97,1,1230426.69,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Myoprocta pratti,COU,0.612314135,increasing,increasing,LA,LC,1880,MAMMALIA,Herbivore,Myoprocta pratti.Cocha Cashu - Manu National Park,3,NA,966.73,NA,1.77,NA,NA,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Myoprocta pratti,YAS,-0.469956478,decreasing,decreasing,LA,LC,1880,MAMMALIA,Herbivore,Myoprocta pratti.Yasuni,3,NA,966.73,NA,1.77,NA,NA,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Myrmecophaga tridactyla,CAX,-0.407620886,stable,stable,LA,VU,22333,MAMMALIA,Insectivore,Myrmecophaga tridactyla.Caxiuanͣ,3,2,29531.83,1,1,3,12447513.64,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Myrmecophaga tridactyla,CSN,-0.122513046,stable,stable,LA,VU,22333,MAMMALIA,Insectivore,Myrmecophaga tridactyla.Central Suriname Nature Reserve,5,2,29531.83,1,1,3,12447513.64,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
